clade_name	clade_taxid	SX9	SX99	SX98	SX97	SX96	SX95	SX94	SX93	SX92	SX91	SX90	SX8	SX89	SX88	SX87	SX86	SX85	SX84	SX83	SX82	SX81	SX80	SX7	SX79	SX78	SX77	SX76	SX75	SX74	SX73	SX71	SX70	SX6	SX69	SX68	SX67	SX66	SX65	SX64	SX63	SX62	SX61	SX60	SX5	SX59	SX58	SX57	SX56	SX55	SX54	SX53	SX52	SX51	SX50	SX4	SX49	SX48	SX47	SX46	SX45	SX44	SX43	SX42	SX41	SX40	SX3	SX39	SX38	SX37	SX36	SX35	SX34	SX33	SX32	SX31	SX30	SX2	SX29	SX28	SX27	SX26	SX25	SX24	SX23	SX22	SX21	SX20	SX1	SX19	SX18	SX17	SX16	SX15	SX14	SX142	SX141	SX140	SX13	SX139	SX138	SX137	SX136	SX135	SX134	SX12	SX10	SX105	SX104	SX103	SX102	SX101	SX100	MH133	MH132	MH131	MH130	MH129	MH128	MH127	MH126	MH125	MH124	MH123	MH122	MH121	MH120	MH119	MH118	MH117	MH116	MH115	MH114	MH113	MH112	MH111	MH110	MH109	MH108	MH107	MH106
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6428	2|1239|91061||||	1736.0	27462.0	330628.0	0	0	0	50607.0	0	0	7411.0	0	3408.0	12545.0	0	210.0	5683.0	0	0	1872.0	24976.0	14388.0	67.0	284.0	12499.0	4545.0	186197.0	102692.0	0	79221.0	16859.0	0	62460.0	4905.0	0	0	0	43608.0	4581.0	730.0	800.0	2386.0	13816.0	23404.0	2621.0	5241.0	0	0	1055.0	0	472.0	3666.0	2030.0	29398.0	415.0	499.0	9756.0	315.0	4858.0	15328.0	22458.0	18794.0	1365.0	759.0	0	0	0	69294.0	11985.0	0	11677.0	4448.0	3570.0	8911.0	2902.0	0	2039.0	0	3607.0	981.0	2736.0	0	0	17220.0	5138.0	6469.0	899.0	0	0	0	12382.0	0	752.0	0	63911.0	0	0	0	2794.0	0	19114.0	0	69557.0	33332.0	2665.0	374.0	18849.0	0	59729.0	12197.0	0	2268.0	618.0	11808.0	9255.0	11954.0	770.0	13595.0	13490.0	0	0	16008.0	0	0	9668.0	8898.0	52572.0	0	29270.0	7370.0	1633.0	11330.0	0	0	8557.0	24219.0	0	1313.0	14656.0	0	13.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6428|t__SGB6428	2|1239|91061|||||	1736.0	27462.0	330628.0	0	0	0	50607.0	0	0	7411.0	0	3408.0	12545.0	0	210.0	5683.0	0	0	1872.0	24976.0	14388.0	67.0	284.0	12499.0	4545.0	186197.0	102692.0	0	79221.0	16859.0	0	62460.0	4905.0	0	0	0	43608.0	4581.0	730.0	800.0	2386.0	13816.0	23404.0	2621.0	5241.0	0	0	1055.0	0	472.0	3666.0	2030.0	29398.0	415.0	499.0	9756.0	315.0	4858.0	15328.0	22458.0	18794.0	1365.0	759.0	0	0	0	69294.0	11985.0	0	11677.0	4448.0	3570.0	8911.0	2902.0	0	2039.0	0	3607.0	981.0	2736.0	0	0	17220.0	5138.0	6469.0	899.0	0	0	0	12382.0	0	752.0	0	63911.0	0	0	0	2794.0	0	19114.0	0	69557.0	33332.0	2665.0	374.0	18849.0	0	59729.0	12197.0	0	2268.0	618.0	11808.0	9255.0	11954.0	770.0	13595.0	13490.0	0	0	16008.0	0	0	9668.0	8898.0	52572.0	0	29270.0	7370.0	1633.0	11330.0	0	0	8557.0	24219.0	0	1313.0	14656.0	0	13.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6473	2|1239|91061||||	278.0	0	0	0	10521.0	0	3603.0	0	0	24271.0	0	26255.0	0	0	0	93633.0	0	0	0	0	13158.0	24682.0	0	0	446.0	0	0	0	0	0	0	0	1770.0	7172.0	49251.0	0	42746.0	0	0	8256.0	5470.0	0	2776.0	410.0	0	0	0	2199.0	699.0	1787.0	0	0	6340.0	0	0	6976.0	9367.0	413.0	0	268.0	3378.0	4429.0	0	25683.0	0	0	0	0	935.0	0	44.0	0	46.0	0	0	0	3016.0	0	0	0	0	0	0	0	0	0	636.0	0	0	0	0	320.0	0	0	2742.0	319386.0	0	0	0	2115.0	5663.0	0	1203.0	0	0	7384.0	0	0	627.0	0	0	0	0	7401.0	6642.0	391.0	0	4666.0	533.0	9974.0	0	0	0	121.0	0	0	0	0	0	0	0	62041.0	1628.0	0	0	290.0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6473|t__SGB6473	2|1239|91061|||||	278.0	0	0	0	10521.0	0	3603.0	0	0	24271.0	0	26255.0	0	0	0	93633.0	0	0	0	0	13158.0	24682.0	0	0	446.0	0	0	0	0	0	0	0	1770.0	7172.0	49251.0	0	42746.0	0	0	8256.0	5470.0	0	2776.0	410.0	0	0	0	2199.0	699.0	1787.0	0	0	6340.0	0	0	6976.0	9367.0	413.0	0	268.0	3378.0	4429.0	0	25683.0	0	0	0	0	935.0	0	44.0	0	46.0	0	0	0	3016.0	0	0	0	0	0	0	0	0	0	636.0	0	0	0	0	320.0	0	0	2742.0	319386.0	0	0	0	2115.0	5663.0	0	1203.0	0	0	7384.0	0	0	627.0	0	0	0	0	7401.0	6642.0	391.0	0	4666.0	533.0	9974.0	0	0	0	121.0	0	0	0	0	0	0	0	62041.0	1628.0	0	0	290.0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6478	2|1239|91061||||	760.0	4206.0	0	9831.0	61926.0	2881.0	31856.0	0	6563.0	3190.0	0	0	43636.0	0	0	21650.0	0	0	1415.0	135002.0	83973.0	11453.0	5146.0	72273.0	7456.0	0	933.0	13797.0	22816.0	68415.0	1708.0	0	8598.0	0	87806.0	0	4501.0	99707.0	15847.0	57639.0	8625.0	12619.0	49722.0	13641.0	33623.0	0	0	0	0	17989.0	2449.0	2855.0	23948.0	0	1028.0	5404.0	0	0	0	15567.0	124377.0	0	8293.0	152.0	3764.0	1579.0	0	837.0	6046.0	0	2456.0	0	0	0	0	467.0	6878.0	0	2481.0	0	0	0	0	503.0	3202.0	0	96056.0	0	0	0	3614.0	0	0	6918.0	45736.0	0	0	0	0	0	5395.0	0	126894.0	0	0	83634.0	0	7547.0	236.0	5591.0	56513.0	0	0	0	3224.0	6025.0	0	119126.0	93456.0	8032.0	0	0	0	10682.0	8857.0	40940.0	78322.0	0	1236.0	0	0	22675.0	0	0	54404.0	0	1571.0	86.0	0	14751.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6478|t__SGB6478	2|1239|91061|||||	760.0	4206.0	0	9831.0	61926.0	2881.0	31856.0	0	6563.0	3190.0	0	0	43636.0	0	0	21650.0	0	0	1415.0	135002.0	83973.0	11453.0	5146.0	72273.0	7456.0	0	933.0	13797.0	22816.0	68415.0	1708.0	0	8598.0	0	87806.0	0	4501.0	99707.0	15847.0	57639.0	8625.0	12619.0	49722.0	13641.0	33623.0	0	0	0	0	17989.0	2449.0	2855.0	23948.0	0	1028.0	5404.0	0	0	0	15567.0	124377.0	0	8293.0	152.0	3764.0	1579.0	0	837.0	6046.0	0	2456.0	0	0	0	0	467.0	6878.0	0	2481.0	0	0	0	0	503.0	3202.0	0	96056.0	0	0	0	3614.0	0	0	6918.0	45736.0	0	0	0	0	0	5395.0	0	126894.0	0	0	83634.0	0	7547.0	236.0	5591.0	56513.0	0	0	0	3224.0	6025.0	0	119126.0	93456.0	8032.0	0	0	0	10682.0	8857.0	40940.0	78322.0	0	1236.0	0	0	22675.0	0	0	54404.0	0	1571.0	86.0	0	14751.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6487	2|1239|91061||||	5763.0	0	0	0	0	0	0	0	0	0	0	0	0	97696.0	0	0	0	0	975981.0	39188.0	0	20366.0	5715.0	24064.0	0	0	0	16015.0	0	63633.0	11505.0	17075.0	0	51708.0	0	0	19368.0	0	14875.0	928.0	26545.0	0	0	0	169641.0	32598.0	0	670.0	0	0	0	4029.0	69258.0	0	0	0	0	0	0	11557.0	0	0	1953.0	46930.0	0	0	0	7730.0	0	0	1334.0	0	5065.0	0	0	0	0	0	5774.0	0	0	0	0	80.0	0	0	8430.0	0	17930.0	0	0	55380.0	0	0	0	0	0	0	0	40292.0	19121.0	0	0	0	1624.0	0	0	0	6011.0	0	0	1951.0	0	0	0	0	79237.0	61232.0	0	0	0	0	0	0	3829.0	0	28904.0	0	0	0	78477.0	29813.0	0	291.0	0	0	138071.0	0	0	207.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6487|t__SGB6487	2|1239|91061|||||	5763.0	0	0	0	0	0	0	0	0	0	0	0	0	97696.0	0	0	0	0	975981.0	39188.0	0	20366.0	5715.0	24064.0	0	0	0	16015.0	0	63633.0	11505.0	17075.0	0	51708.0	0	0	19368.0	0	14875.0	928.0	26545.0	0	0	0	169641.0	32598.0	0	670.0	0	0	0	4029.0	69258.0	0	0	0	0	0	0	11557.0	0	0	1953.0	46930.0	0	0	0	7730.0	0	0	1334.0	0	5065.0	0	0	0	0	0	5774.0	0	0	0	0	80.0	0	0	8430.0	0	17930.0	0	0	55380.0	0	0	0	0	0	0	0	40292.0	19121.0	0	0	0	1624.0	0	0	0	6011.0	0	0	1951.0	0	0	0	0	79237.0	61232.0	0	0	0	0	0	0	3829.0	0	28904.0	0	0	0	78477.0	29813.0	0	291.0	0	0	138071.0	0	0	207.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6493	2|1239|91061||||	0	0	0	0	0	0	0	0	0	0	0	0	0	365.0	3197.0	0	0	0	22488.0	0	0	197.0	0	0	0	0	0	0	0	12120.0	0	27049.0	43346.0	0	0	0	35654.0	0	0	0	1723.0	0	0	0	285.0	11375.0	0	28884.0	2755.0	0	0	0	27247.0	852.0	0	262.0	204.0	7229.0	0	1003.0	0	0	0	219738.0	0	0	0	0	0	0	0	0	0	0	0	0	12504.0	0	840.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40075.0	0	0	0	64354.0	0	0	0	0	173713.0	0	0	1377.0	0	0	0	0	0	0	0	0	0	0	0	27750.0	120.0	0	0	16607.0	0	0	0	4195.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6493|t__SGB6493	2|1239|91061|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	365.0	3197.0	0	0	0	22488.0	0	0	197.0	0	0	0	0	0	0	0	12120.0	0	27049.0	43346.0	0	0	0	35654.0	0	0	0	1723.0	0	0	0	285.0	11375.0	0	28884.0	2755.0	0	0	0	27247.0	852.0	0	262.0	204.0	7229.0	0	1003.0	0	0	0	219738.0	0	0	0	0	0	0	0	0	0	0	0	0	12504.0	0	840.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40075.0	0	0	0	64354.0	0	0	0	0	173713.0	0	0	1377.0	0	0	0	0	0	0	0	0	0	0	0	27750.0	120.0	0	0	16607.0	0	0	0	4195.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6501	2|1239|91061||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861.0	0	0	486.0	0	0	0	947.0	0	3373.0	20521.0	2236.0	0	0	0	0	0	0	551.0	0	0	0	0	0	0	417.0	0	0	0	0	2988.0	0	0	0	0	0	1044.0	0	0	0	0	0	0	0	0	0	0	3444.0	0	0	0	0	0	0	0	0	0	0	4353.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2891.0	0	0	0	0	0	13244.0	0	3438.0	4678.0	0	0	0	0	0	0	67091.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6501|t__SGB6501	2|1239|91061|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861.0	0	0	486.0	0	0	0	947.0	0	3373.0	20521.0	2236.0	0	0	0	0	0	0	551.0	0	0	0	0	0	0	417.0	0	0	0	0	2988.0	0	0	0	0	0	1044.0	0	0	0	0	0	0	0	0	0	0	3444.0	0	0	0	0	0	0	0	0	0	0	4353.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2891.0	0	0	0	0	0	13244.0	0	3438.0	4678.0	0	0	0	0	0	0	67091.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6502	2|1239|91061||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.0	145.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34778.0	7492.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17152.0	0	0	1971.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452.0	0	0	0	0	0	0	8328.0	0	0	0	1803.0	0	0	0	0	10420.0	0	0	0	0	0	0	0	0	0	0	0	0	58082.0	0	0	0	0	0	529.0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6502|t__SGB6502	2|1239|91061|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.0	145.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34778.0	7492.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17152.0	0	0	1971.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452.0	0	0	0	0	0	0	8328.0	0	0	0	1803.0	0	0	0	0	10420.0	0	0	0	0	0	0	0	0	0	0	0	0	58082.0	0	0	0	0	0	529.0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6540	2|1239|91061||||	4242.0	11533.0	5705.0	288.0	0	0	12603.0	0	0	1337.0	0	3779.0	0	0	0	0	0	0	389.0	0	21095.0	577.0	7765.0	44170.0	0	48644.0	0	0	91000.0	1343.0	0	10639.0	949.0	0	0	0	12622.0	0	1997.0	7958.0	12946.0	10348.0	38806.0	0	8878.0	1930.0	0	2697.0	0	1653.0	9056.0	25161.0	8180.0	501.0	154.0	8821.0	189.0	476.0	2085.0	1570.0	1915.0	0	1471.0	0	642.0	0	1816.0	1932.0	8724.0	0	3252.0	1507.0	3697.0	0	35289.0	0	4887.0	0	1280.0	0	0	0	7558.0	8222.0	0	0	0	29231.0	6946.0	0	0	0	0	27.0	0	0	0	0	0	542.0	7561.0	165220.0	0	0	0	0	0	0	59560.0	0	7518.0	1076.0	0	12623.0	25347.0	0	23778.0	10461.0	0	5796.0	6674.0	0	0	24298.0	0	0	0	10999.0	17261.0	0	13647.0	1703.0	0	0	0	17737.0	191.0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6540|t__SGB6540	2|1239|91061|||||	4242.0	11533.0	5705.0	288.0	0	0	12603.0	0	0	1337.0	0	3779.0	0	0	0	0	0	0	389.0	0	21095.0	577.0	7765.0	44170.0	0	48644.0	0	0	91000.0	1343.0	0	10639.0	949.0	0	0	0	12622.0	0	1997.0	7958.0	12946.0	10348.0	38806.0	0	8878.0	1930.0	0	2697.0	0	1653.0	9056.0	25161.0	8180.0	501.0	154.0	8821.0	189.0	476.0	2085.0	1570.0	1915.0	0	1471.0	0	642.0	0	1816.0	1932.0	8724.0	0	3252.0	1507.0	3697.0	0	35289.0	0	4887.0	0	1280.0	0	0	0	7558.0	8222.0	0	0	0	29231.0	6946.0	0	0	0	0	27.0	0	0	0	0	0	542.0	7561.0	165220.0	0	0	0	0	0	0	59560.0	0	7518.0	1076.0	0	12623.0	25347.0	0	23778.0	10461.0	0	5796.0	6674.0	0	0	24298.0	0	0	0	10999.0	17261.0	0	13647.0	1703.0	0	0	0	17737.0	191.0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6549	2|1239|91061||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1419.0	268.0	0	0	0	0	92.0	47849.0	0	10146.0	0	0	0	0	0	0	0	0	0	0	0	0	31450.0	0	0	0	0	104.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10533.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3505.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97388.0	0	0	5415.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__Bacilli_unclassified|s__Bacilli_unclassified_SGB6549|t__SGB6549	2|1239|91061|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1419.0	268.0	0	0	0	0	92.0	47849.0	0	10146.0	0	0	0	0	0	0	0	0	0	0	0	0	31450.0	0	0	0	0	104.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10533.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3505.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97388.0	0	0	5415.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB13634	2|1239|91061|||	0	1679.0	0	0	0	0	177.0	0	0	0	0	0	0	0	0	0	0	0	562.0	0	0	0	0	0	0	0	4917.0	0	0	2680.0	1044.0	0	0	0	0	52.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.0	0	0	0	0	0	0	0	0	0	0	3785.0	0	0	4751.0	0	6731.0	0	0	0	6252.0	0	90.0	0	0	0	0	0	0	0	53.0	0	0	1538.0	0	0	1165.0	0	0	0	0	9144.0	0	0	0	0	0	0	0	0	0	998.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB13634|s__GGB13634_SGB20983	2|1239|91061||||	0	1679.0	0	0	0	0	177.0	0	0	0	0	0	0	0	0	0	0	0	562.0	0	0	0	0	0	0	0	4917.0	0	0	2680.0	1044.0	0	0	0	0	52.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.0	0	0	0	0	0	0	0	0	0	0	3785.0	0	0	4751.0	0	6731.0	0	0	0	6252.0	0	90.0	0	0	0	0	0	0	0	53.0	0	0	1538.0	0	0	1165.0	0	0	0	0	9144.0	0	0	0	0	0	0	0	0	0	998.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB13634|s__GGB13634_SGB20983|t__SGB20983	2|1239|91061|||||	0	1679.0	0	0	0	0	177.0	0	0	0	0	0	0	0	0	0	0	0	562.0	0	0	0	0	0	0	0	4917.0	0	0	2680.0	1044.0	0	0	0	0	52.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.0	0	0	0	0	0	0	0	0	0	0	3785.0	0	0	4751.0	0	6731.0	0	0	0	6252.0	0	90.0	0	0	0	0	0	0	0	53.0	0	0	1538.0	0	0	1165.0	0	0	0	0	9144.0	0	0	0	0	0	0	0	0	0	998.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB13793	2|1239|91061|||	0	0	0	0	0	0	0	0	0	68.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB13793|s__GGB13793_SGB21172	2|1239|91061||||	0	0	0	0	0	0	0	0	0	68.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB13793|s__GGB13793_SGB21172|t__SGB21172	2|1239|91061|||||	0	0	0	0	0	0	0	0	0	68.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB4638	2|1239|91061|||	0	0	0	0	0	0	0	0	0	0	0	14030.0	26152.0	19790.0	26561.0	0	0	0	101976.0	0	0	41609.0	0	39260.0	248370.0	0	0	0	0	6897.0	0	0	33060.0	16813.0	0	0	1064.0	0	4568.0	40027.0	18627.0	0	0	0	0	1556.0	0	40353.0	0	0	0	0	0	0	0	19190.0	0	0	0	20944.0	0	0	0	0	0	1575.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37834.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26327.0	0	0	14536.0	8449.0	0	0	0	0	149521.0	77284.0	0	301.0	0	0	0	0	0	0	171065.0	0	0	0	3209.0	69256.0	0	310.0	0	639.0	0	0	0	1116.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB4638|s__GGB4638_SGB6417	2|1239|91061||||	0	0	0	0	0	0	0	0	0	0	0	14030.0	26152.0	19790.0	26561.0	0	0	0	101976.0	0	0	41609.0	0	39260.0	248370.0	0	0	0	0	6897.0	0	0	33060.0	16813.0	0	0	1064.0	0	4568.0	40027.0	18627.0	0	0	0	0	1556.0	0	40353.0	0	0	0	0	0	0	0	19190.0	0	0	0	20944.0	0	0	0	0	0	1575.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37834.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26327.0	0	0	14536.0	8449.0	0	0	0	0	149521.0	77284.0	0	301.0	0	0	0	0	0	0	171065.0	0	0	0	3209.0	69256.0	0	310.0	0	639.0	0	0	0	1116.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB4638|s__GGB4638_SGB6417|t__SGB6417	2|1239|91061|||||	0	0	0	0	0	0	0	0	0	0	0	14030.0	26152.0	19790.0	26561.0	0	0	0	101976.0	0	0	41609.0	0	39260.0	248370.0	0	0	0	0	6897.0	0	0	33060.0	16813.0	0	0	1064.0	0	4568.0	40027.0	18627.0	0	0	0	0	1556.0	0	40353.0	0	0	0	0	0	0	0	19190.0	0	0	0	20944.0	0	0	0	0	0	1575.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37834.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26327.0	0	0	14536.0	8449.0	0	0	0	0	149521.0	77284.0	0	301.0	0	0	0	0	0	0	171065.0	0	0	0	3209.0	69256.0	0	310.0	0	639.0	0	0	0	1116.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB4640	2|1239|91061|||	0	0	0	0	0	0	0	0	0	0	0	290.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457.0	0	0	0	0	0	0	2295.0	0	404.0	0	0	0	0	487.0	374.0	0	0	0	0	0	0	0	0	0	11207.0	0	0	0	0	0	0	0	0	0	0	2087.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18184.0	0	0	0	0	0	0	0	0	97.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369.0	0	0	0	0	0	0	1012.0	0	0	0	0	0	0	0	0	0	0	0	0	0
